<Pet_Supplie> cat:3756.523085322444 cats:3701.9655932138176 litter:1671.564273906119 pet:1662.305698581781 puppy:1568.5962806907414 vet:1504.5355591599498 leash:1375.3855462827116 collar:1360.2427650633506 treats:1207.3590031993704 chew:1018.3082697957578 lab:913.2161602632285 fleas:878.6083281380081 food:704.6829611364294 chewed:657.3078623867473 terrier:612.0153851600007 barking:575.2053634430665 chewer:499.39742334799087 crate:495.8131776089816 tank:488.37872551769 retriever:474.83146097144925 kitten:467.32288901142545 paw:467.0877852502287 aquarium:445.66781798215976 poodle:439.499722146539 bulldog:439.499722146539 chihuahua:439.499722146539 spaniel:437.32466365337484 petsmart:437.32466365337484 collars:426.0341618882355 pup:407.9724596755767 toys:403.56857256671503 lb:401.3408421085115 doggy:383.141106481878 catnip:380.9157590476157 petco:375.15184202371915 kibble:375.15184202371915 fountain:340.9156692901482 chewing:340.9156692901482 puppies:340.00156842030947 kitty:328.69908324192625 kennel:327.635731155698 cage:325.50656532763657 flea:324.094304202354 bowl:322.7152918147869 leashes:319.85064850003414 urine:316.2860365631871 chews:316.2860365631871 corgi:312.87871637465906 litterbox:312.87871637465906 harness:304.1931163047111 coat:302.36560779686056 pom:301.2169408165325 husky:288.81420286401294 shepherd:284.17034966171457 gallon:280.07200795772945 clumping:278.3787145254918 poop:277.3128966360452 feeder:274.7923492315202 yorkie:273.24330457178496 kitties:273.24330457178496 kong:260.16507693494015 pomeranian:259.07144174251755 frisbee:259.07144174251755 kittens:256.55445964103535 pound:253.55501298753148 orijen:250.50504384028227 rottweiler:250.50504384028227 petsafe:250.50504384028227 furminator:250.50504384028227 bichon:250.50504384028227 shiba:250.50504384028227 scooping:241.78653025424697 loves:236.81924037816296 treat:231.93272818131834 doggie:229.0821701682826
<Movies_and_TV> dvd:7159.265904814441 acting:4708.839473142476 movies:4399.309382370883 watch:3538.91828565054 films:3442.747911438792 actors:3403.8496257127545 watching:3120.404451447843 watched:2799.936901561826 episodes:2242.294026197874 season:2032.0238370977704 cast:1720.9001395585947 director:1620.4452909254348 episode:1573.5366880805634 actor:1559.3746553407898 comedy:1468.4470913702385 show:1467.7934506200831 seasons:1283.7135026517387 scenes:1270.3087258281712 flick:1169.921795154518 script:1125.778432874558 vhs:1063.6672649867323 scene:1009.1651622894053 video:951.2601257633429 performances:864.7767321676635 documentary:845.8333402263663 dvds:842.6665546790704 extras:832.9644455678399 funny:831.7556219430402 subtitles:826.5297062480537 blu:824.5385464510179 role:786.6285096208294 viewer:774.225147127867 viewers:757.3638059802798 effects:715.4340635806121 cinematography:667.8066976500897 ray:638.5259750909185 animation:635.57086669616 footage:630.3444968108008 actress:614.0672147959045 filmed:609.3347135463397 classic:604.9786344926704 horror:584.3172468146684 special:567.3748627448226 cinema:545.7670712216026 action:537.7649960141091 hollywood:532.9214058805378 production:502.47416162537036 roles:501.3307676110394 tv:495.9094479980457 aired:488.4965527072689 remake:475.68483202677186 nudity:457.88135420397816 cgi:418.63675263620974 animated:415.1944688117579 viewing:412.05045527018194 theatrical:410.61332156382053 anime:402.0837732306551 television:390.4885431061265 shows:377.2125300963422 acted:371.82227474127154 rent:371.2771170757171 screenplay:364.8515999736149 performance:363.5426773420757 disc:358.9506429106146 rented:358.39880537799905 laughs:356.68393431989074 hilarious:354.9912529221451 directed:353.5342997128303 released:351.2413208496426 casting:349.9561663864273 entertainment:342.6398658142854 plot:341.6489957241042 disney:341.213111030908 played:332.01422865643866 plays:327.61202856880305
<Electronic> cable:3105.616711588986 usb:2450.628414234506 computer:2400.5714548337032 screen:1687.9406581061849 tv:1624.268531094545 hdmi:1621.300762675922 ipod:1605.1840164052303 speakers:1584.1704461456916 ipad:1575.81766471916 gb:1554.7026724826048 keyboard:1539.1613024051865 adapter:1505.3449305231136 device:1495.042715977981 sound:1434.245119744655 headphones:1430.1763097096987 plug:1326.858992170448 battery:1316.0048953663227 wireless:1247.3296845554512 works:1240.454359652428 tablet:1233.6934614162133 drive:1222.5354727705678 pc:1219.7306040955964 card:1187.8704110048247 hd:1181.2475099519104 sony:1169.333794623214 cables:1167.5410711308225 lens:1100.1026740993402 plugged:1085.0042686062172 software:1026.1098701093335 port:1020.9368977221034 router:1004.3904011322978 windows:975.3222212318844 remote:965.1475218909552 unit:901.6270071924183 signal:851.3764632273245 canon:848.6955265785737 external:841.9991438046737 speaker:827.8361784664042 mouse:827.7999039698019 setup:817.9875882731087 player:813.8770059833302 nikon:805.9893196005618 audio:802.1545328140313 sd:800.8995665234781 cord:791.0503106624435 apple:765.276389889101 lcd:726.7287816471228 devices:718.8974176640947 cameras:689.7022170294806 desktop:683.6888478458046 price:666.247208449768 receiver:665.016997799935 charger:636.358161143204 logitech:632.3429011269334 antenna:625.0251631227251 mac:622.1781466517145 gps:620.4589134625901 video:605.2025759979259 mp:605.0558891189596 ports:591.651107959298 installed:564.0880551484369 asus:559.9735783843953 macbook:549.0725623950818 charge:542.0103989710792 flash:541.7007858512907 zoom:541.2936922812296 monitor:539.9689483373437 connect:537.1522027140478 files:526.389934320887 portable:524.1181582400424 quality:520.7000560463998 bluetooth:518.1365697774628 toshiba:501.1150478046947 mode:497.5286905364644 worked:493.7140762552217
<Musical_Instrument> pedal:930.8802875892532 addario:775.5343394432816 behringer:775.5343394432816 tuners:752.9991609426048 mic:699.0683648551409 tuning:659.7940660568287 truss:644.6210964596044 drum:559.5705418365808 rosin:551.1134434648252 metronome:551.1134434648252 fender:539.4488018568629 epiphone:495.7343178983218 pickups:480.9842842732621 reeds:480.9842842732621 pickguard:467.1708606605111 numark:467.1708606605111 xlr:467.1708606605111 instrument:451.6122304011367 pedals:438.5080119394176 yamaha:437.8481874341817 frets:411.7869553713044 dunlop:411.7869553713044 string:385.0845461145942 intonation:382.80725492843396 capo:382.80725492843396 sound:378.106801160034 violin:367.9835349023822 preamp:348.88411994126506 gigs:320.1378082909474 snare:317.36011732523053 gig:313.94050877794194 lavalier:312.0676785417984 swampy:312.0676785417984 footswitch:312.0676785417984 amplitube:312.0676785417984 ibanez:312.0676785417984 mxr:312.0676785417984 irig:312.0676785417984 emg:312.0676785417984 wuhan:312.0676785417984 maschine:312.0676785417984 akai:312.0676785417984 rocksmith:312.0676785417984 guitars:310.7415790384461 tuner:306.03207695125064 amp:279.88241381016536 trs:277.9146140974689 wav:277.9146140974689 midi:277.9146140974689 microphone:275.38783941385105 mics:271.88313062751354 clarinet:270.615775278013 cymbal:243.90489967986477 technica:243.90489967986477 banjo:221.12734603655917 distortion:216.19749379069586 dulcimer:206.71651066975005 protools:206.71651066975005 epi:206.71651066975005 cabs:206.71651066975005 ocarina:206.71651066975005 rehearsing:206.71651066975005 condenser:206.71651066975005 turntables:206.71651066975005 deoxit:206.71651066975005 fretboard:206.71651066975005 mixer:206.4310002909992 bass:205.53567234299862 acoustic:195.52110750213728 piano:194.45287725070395 cymbals:171.96992816562283 hercules:171.46987563972417 seismic:171.46987563972417 ukulele:171.46987563972417 microphones:160.8954122969511
<Office_Product> cartridges:4665.660907131799 cartridge:3318.1330693283726 printing:2634.3198746011376 printers:2088.8068935753054 epson:1850.5712983035728 scanner:1663.1198693434299 print:1509.1598601043052 pen:1059.8774427536962 toner:1050.8464026036374 paper:912.9709948711297 pens:900.1013118159096 prints:891.7624118752809 hp:847.5242764759839 fax:843.475845746914 scan:766.8202671395875 scanning:732.8729066924938 inks:665.9194889417327 stapler:665.9194889417327 shredder:608.0150855297102 handset:593.0001679626132 lexmark:557.7258167900657 copier:500.16098925426536 desk:471.95308621206755 pencil:461.93214503003946 remanufactured:453.0653873915134 pencils:447.75825034943296 staples:447.3114821129614 labels:441.6760788471259 laser:418.12626182044704 office:395.2846321994552 inkjet:380.61796043663435 receipts:379.56469924250047 pixma:372.71051424954334 scans:364.5233037025204 calculator:341.44189880709166 stapling:334.8339228766514 answering:330.37575012613775 dymo:310.8410302622428 swingline:310.8410302622428 mfc:310.8410302622428 handsets:299.9622336163078 landline:299.9622336163078 envelopes:284.5127201980817 ooma:276.5477246249467 binders:271.43374944273904 canon:266.4354137197221 eraser:257.2228593789249 borderless:248.87229165538045 staplers:248.87229165538045 deskjet:248.87229165538045 avery:235.8611812693073 printed:235.64177688288993 papers:225.47967254148278 refill:221.96039045222233 sharpeners:219.18673747780417 nib:218.86281089681677 folders:205.61392824956192 scanned:199.77287484284415 wireless:197.9702543570456 uniden:197.89082892389138 fellowes:197.50347255243702 pentel:186.80405945411025 printhead:186.80405945411025 cis:186.80405945411025 speakerphone:180.4168359263932 artisan:180.4168359263932 dpi:180.4168359263932 intercom:180.4168359263932 binder:174.14069138502438 erase:168.32332260659953 mousepad:165.63360377263618 sheets:163.7439877135551 erasers:163.26291761846488 refills:160.9355777295613 software:151.71427809620488
<Cell_Phones_and_Accessorie> iphone:3760.910250747047 protector:1896.514730638843 screen:1770.2883882968804 galaxy:1633.9738486960853 otterbox:1406.6662280670582 charger:1378.3222967521674 dropped:1271.2759764574187 charge:1188.36752154287 protects:1022.9996162391483 samsung:991.9918094133229 battery:966.795827836504 protection:924.5780916527546 phones:897.9554723523951 cases:895.517168189618 headset:787.2044719113896 charging:776.3698442967652 fits:744.4025160762405 htc:742.2208566715567 bluetooth:619.8829340044122 cell:592.0486472949266 verizon:587.6955349101221 nokia:585.8457250453919 buttons:563.5534179708168 otter:539.8591349000222 protectors:523.7314427735352 blackberry:498.3539140543281 bubbles:445.8965377288079 pocket:429.5232857894148 droid:424.50777373157 protective:410.1383240390939 motorola:408.49276027382064 cover:388.0224933230287 lg:369.7366284678766 protected:368.9792761106912 headsets:358.36419597653327 protect:356.0599570494279 stylus:352.18299138011184 rubber:328.51973594192333 bulky:328.4931388660209 charges:301.95842979156487 charged:300.6713210492742 clip:299.00046864449797 chargers:297.98526193638594 edges:296.1579858733096 slim:295.76854835500745 fit:285.35708517796223 sprint:284.781642931515 mobile:283.05818118391863 kickstand:279.6643046532899 sim:275.44044653073036 iphones:270.14776867521874 scratches:264.053713389623 ear:248.86097108058428 tpu:239.55788092640688 drop:238.69996432851823 perfectly:235.59143349601476 cracked:235.4490560938997 rubberized:233.43844556390366 gs:220.80550022606027 spigen:217.98126590191703 holster:214.10222380789878 texting:213.26191515062513 smartphone:212.90490515040833 unlocked:212.56079944505248 defender:207.32577099826167 reading:206.4619854043898 zagg:205.14308512215646 lifeproof:204.44597087464246 broke:203.48189057819852 cellphone:202.21965724762276 grip:200.90064221100693 mah:200.55541959097656 button:195.80284126313188 characters:195.17804945202985 plastic:192.05473311234047
<Clothing_Shoes_and_Jewelry> comfortable:3877.464390292747 shoe:3755.0366123700787 size:2574.273884438155 pair:2162.0441968074974 shirt:2100.90901480649 fit:2040.167692669436 boots:1924.5560470585028 wearing:1570.0283784145922 dress:1410.654926910239 earrings:1360.7835308610388 worn:1341.3008326555864 jeans:1122.739940310614 sandals:1105.449165663808 feet:1035.9255815131698 bra:971.4846315620398 bracelet:968.8052464546729 socks:949.8128218757824 wore:945.6805467437044 necklace:867.8608631313878 heel:832.710948857004 cute:830.3318629735468 costume:826.2209034330501 compliments:824.9627382857409 sizing:799.892282677557 pants:762.0838275699518 leather:759.9002485857768 watches:731.0636865259877 sole:714.7953569145989 fabric:698.7794487522465 comfy:655.4943126173454 toe:649.1015205853538 waist:628.2098083543952 color:613.120748783492 slippers:590.7126207855339 shirts:551.3971947684264 jewelry:534.4595541080394 foot:520.7948873321808 ring:504.3125768697891 pairs:496.71890853039577 ordered:492.95093456140296 fits:483.0257051447536 wears:475.85066018745545 leggings:451.80945501958115 sandal:439.21632694523237 sizes:435.4510075787008 soles:415.29097501586796 arch:412.73556796041095 tight:411.3793558803207 jacket:410.89042307913854 casual:396.15990560019475 boot:393.32329759165714 flattering:391.5290592914952 sneakers:373.58886555232533 stylish:368.0967714331674 watch:367.3943709943085 colors:362.14521513924876 warm:356.96141758726236 soft:353.56442865291206 pendant:340.45510700880453 outfit:338.3350747932768 characters:336.5181647922887 reading:334.0882775658341 bras:322.97205002277883 sweater:304.2059672848987 material:303.19562041508436 clasp:302.7647654850446 narrow:301.3879674310003 cotton:300.20238748067027 wrist:297.54871843998177 footbed:291.19913526737565 dressy:289.2868896738664 skirt:285.3721326530753 hat:280.34406038419803 quality:279.92556744002854 slipper:277.1865248906232
<Tools_and_Home_Improvement> flashlight:1480.2596933814666 bulb:1225.5907717048178 tool:1092.619754314003 flashlights:992.7994817540136 dewalt:986.1473193361464 faucet:882.9760513538242 drill:834.4882616080079 light:804.6431696477799 tools:783.6414556679309 bright:748.4689921781606 lights:727.841277972404 fixture:648.3451252812538 thermostat:534.4292855670508 nailer:516.1110244407967 batteries:509.9747574079098 dimmer:466.7750255595126 lumen:437.70975077300307 cfl:397.2249774931559 miter:397.2249774931559 dremel:365.20752377267985 lamps:353.84575763799586 beam:353.3524418638731 blades:329.75798980878255 makita:327.7037673635961 sander:320.12498696935717 leatherman:318.108808765668 led:314.8032773574554 brighter:302.5954406761174 blade:300.5549909395694 pliers:291.11123612136595 switch:285.91834710386377 dimmable:280.9917871495281 incandescent:274.89315636858805 installed:273.567725307459 strobe:267.52541979102887 halogen:263.79391398854966 bosch:256.1906044963129 sink:254.98066818085115 lumens:251.30316027262413 wall:251.13449532275337 shower:241.9902672397394 monoxide:241.93418754029 fixtures:240.83965034748664 volt:239.3827813685743 ridgid:238.8287372454819 sockets:234.98962108692712 ceiling:232.76955818730954 fluorescent:227.01700246966195 dusk:213.50798661266057 screws:210.51500303936476 maglite:206.7826966304533 garage:202.9622158038724 depot:200.07754772153675 showerhead:199.12707879100878 nailers:199.12707879100878 streamlight:199.12707879100878 watt:197.76331757816365 wrench:193.62915126932887 chandelier:190.77201880332805 heater:185.19176091271217 installation:184.35408153940816 screw:182.12036821088967 contractor:180.06536405507774 cordless:178.64067107992048 bathroom:177.91999084599632 lithium:176.38143956486064 milwaukee:174.99662541713292 bits:172.87915429392035 remodel:172.17440252552313 hose:167.06536151630078 lathe:164.27872952229046 screwdriver:163.1061260794784 dimmers:159.38425339794816 bidet:159.38425339794816 kidde:159.38425339794816
<Baby> crib:2321.192157713335 diaper:2315.674730042587 newborn:1249.633238565101 pacifiers:1185.417832020134 carseat:1172.8814215677246 sippy:1146.884812607406 seat:1132.2497686923841 pacifier:1090.2766801733471 nipple:1028.5761474860935 diapers:973.1872804126539 britax:928.1606142625277 strollers:924.5324636170399 infant:895.7601453395008 medela:845.6662235748043 graco:841.3918335244784 babies:759.9793345120015 avent:758.0714147733117 swaddle:758.0714147733117 teething:737.8456698368486 gate:733.2289779348231 teether:674.5706236350861 toddler:611.0923147945738 highchair:507.02557662142226 nursery:491.3612195996413 naps:486.7775305994003 breast:462.0940973097515 bassinet:456.48569658648756 potty:439.2895586980286 mam:432.8861178490866 boppy:432.8861178490866 son:431.8075927909118 tub:430.15256887274984 swaddling:422.98014058560955 daughter:416.1433227093814 playtex:409.448086275198 blanket:404.6132664235356 latch:397.0530447608546 nipples:392.94495846280637 bath:382.28942840584597 bottles:380.51067478658535 swaddled:377.2844448216101 recline:377.2844448216101 reclined:350.82309921242734 prefolds:338.75197181428314 wubbanub:338.75197181428314 soothie:338.75197181428314 nuk:338.75197181428314 diapering:338.75197181428314 teethers:338.75197181428314 feeding:331.5815516370272 blankets:320.11696583241695 breastfeeding:314.73020491865356 bib:299.44911346318224 carrier:294.1999152120055 toys:272.02835721976913 evenflo:269.407275898204 outgrew:260.63556983091337 month:260.3183775613742 snugride:254.34047379240297 carseats:254.34047379240297 sleepsacks:254.34047379240297 colicky:254.34047379240297 prefold:254.34047379240297 blankie:254.34047379240297 breastfed:254.34047379240297 chicco:254.34047379240297 months:241.91706394569664 convertible:235.17069156209257 rattle:233.6212828077691 milk:229.69327322665885 tray:224.3207716498639 munchkin:223.1813814260435 burp:223.1813814260435 chair:215.63735325032985 wipes:208.64624246896628
<Patio_Lawn_and_Garde> plants:1308.3679374279286 lawn:1163.3238267479883 seeds:987.3885352713272 yard:922.2312057225348 garden:820.5304292459521 seed:795.2186554192086 feeder:767.0926557076234 plant:682.1885574523633 gas:650.4387503071215 grass:603.9712270234897 smoker:593.205266410398 pool:575.0916507340145 watering:546.5599624277083 traps:532.5534253450355 mow:519.3429617465363 blower:510.17611305352995 soil:508.4027018352497 germinated:467.00954602083146 bbq:442.7470756464223 hose:419.5598087672888 hummingbirds:408.99492918632797 weber:404.65156246168715 sprinkler:398.58637277605794 sprinklers:389.56424898967776 patio:384.47682664186806 weeds:384.38593391979146 planted:360.49835689964465 burners:358.8124928359433 acre:348.3082535171151 feeders:324.0361185570103 trap:323.08247270300245 landscaper:311.963725687976 pruner:311.963725687976 bilt:311.963725687976 squirrels:309.7014787333666 bait:309.7014787333666 grills:304.50777090628776 sprouted:302.799585114578 hammock:289.1678284135857 weed:286.0480625053602 roaches:275.417177044732 fertilizer:275.417177044732 bugs:267.00929268210643 mice:249.7972744151699 mulch:247.9766099320708 germination:247.9766099320708 grilling:240.09014690083083 geraniums:234.20750903663722 soils:234.20750903663722 intex:234.20750903663722 husqvarna:234.20750903663722 suet:234.20750903663722 poulan:234.20750903663722 hydroponics:234.20750903663722 sprout:230.34700595052 bushes:227.56018713022885 driveway:212.49345307436684 coals:212.01343564397195 squirrel:209.14784411342978 sprayer:205.88106301772214 trimmer:201.70817509997818 leaf:200.58733424745756 birds:197.37002166938538 sunflower:189.82593966252696 hummingbird:189.82593966252696 bird:188.0645265312793 ants:181.54285312632075 planting:179.6931758479185 mowers:174.8593827729368 tiller:174.8593827729368 potted:174.8593827729368 mowed:174.8593827729368 flowering:174.16098665771727 edger:174.16098665771727 compost:156.55105194159745
<Home_and_Kitche> vacuum:1225.662452100413 oven:1171.4930541144101 dishwasher:1081.7802045392243 lid:1070.885092619368 pan:993.0405293262602 clean:984.0137465034729 pot:864.6974774358276 maker:793.1314411872876 pans:790.6505884246047 cup:731.9633238093757 mattress:712.4702802796833 toaster:627.5155899310523 cups:613.7344675542013 sheets:613.5121971532523 comforter:589.0814897845893 water:576.4636761875064 pillow:566.120137432882 microwave:555.2969525930582 mug:553.512654396628 counter:529.8445332791249 cook:523.9047949681453 cooking:521.7134069335781 cooker:515.4130581386477 machine:501.9682260126497 cookware:495.5619873946346 cuisinart:468.8972498526448 poster:463.8204475745794 bed:443.48530766346744 brew:440.9269493436633 filter:417.72726315166 stainless:412.29343365137885 brewing:402.35936365322925 cooks:399.4901860242376 pots:393.6163590508397 grinder:390.8489862688413 bowl:385.5608569690718 bread:383.31829150689276 juicer:382.5089249554272 steam:378.59736742569874 heats:369.905762046064 glass:369.3345079146067 kettle:366.2311643670771 stove:361.64447168274114 espresso:352.6747169728817 rack:350.50114786137937 heat:342.4591317023818 lids:340.651695747097 heating:338.3902764445507 grind:336.3725314832411 steamer:328.81167083366176 pitcher:323.3210412715493 cleaning:320.14076324305597 carafe:313.62243247527925 dyson:313.1726439959426 blender:312.63107827548686 knives:310.1260446147402 baking:307.9948335986623 filters:299.0263442456191 mugs:298.2633091651504 coffeemaker:298.2633091651504 drip:294.3698274780348 pillows:292.73298134228486 heater:287.1287752334533 carpet:285.17835267874347 suction:280.45215527778527 thermometer:275.69509375472813 temperature:271.226509170249 bowls:270.17150232746263 pour:269.8165096114714 curtain:265.8921629629212 timer:264.9002594282332 dough:264.14050310490273 slicer:262.0315895019989 vacuums:261.1213152166798 nonstick:261.1213152166798
