token	category	observed	expected	chi_square	total_term	total_category
>>	Book	1	0.856550254348019	0.033611875914662415	3	22507
>>	Electronic	1	0.2977964962133225	1.8379502022995688	3	7825
>>	Patio_Lawn_and_Garde	1	0.03782871785764122	24.759716341998626	3	994
>>>	Book	1	0.2855167514493397	2.5023102896747824	1	22507
>>>>>>>	Book	1	0.2855167514493397	2.5023102896747824	1	22507
>>allison	Book	1	0.2855167514493397	2.5023102896747824	1	22507
>>cedric	Book	1	0.2855167514493397	2.5023102896747824	1	22507
>baule	Book	1	0.2855167514493397	2.5023102896747824	1	22507
>haha	CDs_and_Vinyl	1	0.04755863958695404	20.021333333333335	1	3749
>reading	Kindle_Store	1	0.04065762600058354	23.588271990018715	1	3205
^>	Electronic	1	0.09926549873777417	9.072834142601584	1	7825
^^	Beauty	1	0.15397886564589175	4.768040955403599	6	2023
^^	Book	1	1.713100508696038	0.41553930083907414	6	22507
^^	CDs_and_Vinyl	1	0.2853518375217242	1.8784527174314432	6	3749
^^	Clothing_Shoes_and_Jewelry	1	0.4375800783975441	0.779480717666299	6	5749
^^	Movies_and_TV	1	0.35065775285745093	1.2766318608429585	6	4607
^^	Musical_Instrument	1	0.038057060218954955	24.419084171582508	6	500
^^bottom	Book	1	0.2855167514493397	2.5023102896747824	1	22507
^all	Book	1	0.2855167514493397	2.5023102896747824	1	22507
^h	CDs_and_Vinyl	1	0.04755863958695404	20.021333333333335	1	3749
^the	Book	1	0.5710335028986794	0.4509762132467136	2	22507
^the	Kindle_Store	1	0.08131525200116708	10.815470171181339	2	3205
