Apps_for_Android games:2338017.874 play:1836165.325 graphics:1661336.416 addicting:1516594.408 kindle:1509286.772 addictive:1380028.604 challenging:1078323.959 coins:941119.343 fire:855679.353 playing:780294.680 puzzles:692528.129 apps:594607.781 levels:498309.705 free:483238.297 download:481721.300 ads:405732.775 bingo:399346.619 downloaded:398530.500 gameplay:306855.421 mahjong:305482.292 flappy:296736.973 solitaire:295302.534 uninstalled:278030.484 facebook:256030.436 waster:251144.413 puzzle:235539.605 great:209089.446 faotd:204651.748 played:192526.051 android:186192.484 deleted:185104.460 bought:182789.640 quality:167619.933 price:167152.426 permissions:166196.176 minecraft:162697.123 glitches:159916.495 addicted:159679.407 awesome:158092.234 good:148830.455 earn:146717.754 challenge:145436.732 delete:142642.712 made:140790.211 reading:139834.405 freezes:139217.186 author:137767.789 years:133494.671 fit:132970.978 uninstall:119421.073 downloading:116762.729 series:116156.079 unlock:114569.667 characters:113200.834 crashes:112579.392 written:111461.148 multiplayer:107359.479 brain:106675.611 perfect:103334.217 cool:100069.709 sims:97650.330 size:96096.695 back:94002.910 hints:93799.683 put:92777.428 tetris:92572.078 small:91925.601 appstore:91569.934 logos:91551.307 end:89467.531 bored:88978.553 temple:86990.864 developer:86163.555 sudoku:85995.293 feel:85763.669	
Automotive honda:994105.731 jeep:851164.817 vehicle:832653.338 oem:827276.737 toyota:806232.661 installed:602305.532 engine:594975.093 headlights:548919.748 wiper:521457.843 dealer:440837.596 dealership:409263.903 chevy:408259.225 tire:402216.793 brake:396604.127 ford:380263.777 headlight:372300.656 wipers:343576.355 installation:343170.533 bmw:340112.015 tires:334701.058 nissan:332553.564 mats:321251.596 rear:318142.378 fit:317696.438 dodge:311116.098 windshield:307846.113 hitch:306095.724 silverado:285133.171 mpg:270410.428 factory:266170.239 vehicles:256929.114 exhaust:253571.192 mechanic:252186.967 lights:250047.584 passenger:246106.952 motorcycle:241763.430 steering:240250.442 muffler:220508.877 gmc:219692.765 bolts:218709.898 mazda:218082.909 filter:216590.768 subaru:214427.021 bumper:213160.045 helmet:207933.189 camry:207897.522 rotors:207825.991 tailgate:205483.847 wrangler:205428.202 cars:204323.058 trailer:204010.431 fuel:203554.146 decal:197824.840 dorman:193331.784 civic:186106.362 wheel:183699.092 tacoma:178778.301 weathertech:173279.935 vw:172935.748 corolla:166238.764 autozone:166092.242 bolt:165160.240 auto:157839.047 sticker:156193.037 obd:155811.829 radiator:152852.525 replacement:146766.879 delco:145264.992 towing:142435.023 inverter:140958.880 stock:140283.418 rv:137709.014 kit:137384.629 atv:136835.418 hyundai:135469.111	
Baby crib:2640752.842 diaper:2473618.297 diapers:1257394.796 seat:1104100.656 graco:1040854.780 infant:971622.997 carseat:955549.530 sippy:876246.745 britax:854292.709 newborn:832657.460 babies:818858.879 medela:767516.001 nipple:679160.149 strollers:669964.132 avent:658637.234 bassinet:614536.221 teething:611629.725 pacifier:592107.037 nipples:584501.170 toddler:574512.684 teether:537313.819 pacifiers:486538.038 swaddle:481459.098 bottles:457270.416 son:426075.967 nursery:418561.249 gate:407434.212 seats:385019.011 potty:378734.929 blanket:367282.566 recline:363428.507 daughter:357417.045 chicco:352374.511 highchair:344631.074 toys:335266.130 month:308285.374 booster:307294.145 bib:303387.580 chair:277301.942 months:271660.500 boppy:269951.936 evenflo:263277.098 blankets:258443.344 swaddling:253600.664 bjorn:253008.173 wipes:238248.894 breast:228020.356 diapering:217840.594 nuk:213267.236 playtex:211861.375 bouncer:211587.815 loves:210180.964 soft:204087.560 child:194242.990 mattress:193108.357 swaddled:189784.148 prefolds:187558.822 carrier:186892.253 teethers:186622.372 newborns:186249.232 wash:174918.334 cute:173296.587 breastfeeding:172027.136 tub:170516.227 burp:170507.304 paci:167083.549 munchkin:163343.467 cribs:161743.936 thirsties:160847.401 jumperoo:160237.747 tray:153269.624 feeding:152810.685 pail:152757.352 reclines:150917.935 latch:150711.104	
Beauty shampoo:2522125.869 scent:2501015.234 lotion:2296006.970 smells:2161019.532 conditioner:1878169.092 fragrance:1729948.023 moisturizer:1674467.203 smell:1622399.798 perfume:1542398.538 greasy:1462426.583 makeup:1400301.323 oily:1388366.629 acne:1279394.892 dry:1176394.377 curly:1125468.397 scalp:1007260.776 cream:989849.145 mascara:876393.822 salon:852734.932 moisturizing:845685.721 curls:822406.964 cologne:803200.584 cleanser:782158.941 brush:782022.573 nail:781404.866 serum:759415.054 frizzy:733715.042 lashes:732723.057 bottle:714755.039 products:714588.377 frizz:698031.785 polish:664370.462 sunscreen:640238.107 nails:627964.918 pores:611145.352 tanning:536284.220 face:530966.870 brushes:528748.162 soap:520097.922 spf:481499.661 lotions:458966.270 oil:458685.939 wavy:450238.365 moisturized:445454.412 drying:439873.913 shampoos:438330.345 breakouts:427997.557 straightener:427799.966 natural:417694.048 concealer:405927.743 silky:402974.168 dryer:389549.608 comb:383411.669 gel:378972.141 facial:376216.768 curling:375463.984 curl:360031.696 eyeliner:359265.787 creams:356535.740 opi:355235.805 dries:354255.907 soft:354031.317 spray:346708.794 apply:339829.086 wash:338964.178 dermatologist:328359.693 argan:327500.438 olay:326725.640 eyeshadow:318370.360 lipstick:314948.447 shiny:309667.800 neutrogena:304800.846 scents:300908.684 sensitive:292299.725 smooth:282338.378	
Book author:5124621.535 reading:4742164.067 characters:3658426.693 written:3602722.359 reader:2539404.706 series:2221419.289 interesting:2197190.431 writing:2192131.252 stories:1997214.878 pages:1931413.203 great:1806676.509 history:1779374.361 world:1775249.813 enjoyed:1762136.814 page:1678746.825 character:1672265.427 information:1649754.329 price:1570664.398 readers:1548930.676 chapter:1452497.387 quality:1426422.319 plot:1315690.064 authors:1249816.222 romance:1128426.966 works:1112319.769 fiction:1106975.817 fit:1087806.115 chapters:1083563.603 understand:1058770.911 writer:1045923.423 lives:1028513.089 novels:1019183.617 mystery:1015164.742 learn:991028.735 bought:964328.366 ending:940349.918 historical:937742.438 people:897846.344 understanding:897777.343 ideas:876902.199 relationship:870637.199 size:863391.586 guide:860363.828 interested:855119.490 god:848807.529 subject:839192.312 human:822546.386 nice:811403.980 end:810405.214 war:801366.577 man:791719.885 loved:782278.015 tale:772540.518 fascinating:771843.090 young:768642.527 interest:744621.776 family:738308.328 writes:736176.656 insight:718029.535 journey:717352.392 knowledge:717231.749 text:702910.651 buy:700313.678 events:685595.323 woman:681834.157 published:680307.686 study:679323.116 children:678949.189 heart:678768.802 reference:678434.112 perspective:668798.666 finished:667047.368 examples:665216.303 informative:662192.245 beginning:649204.967	
CDs_and_Vinyl music:9462446.485 albums:6605658.325 tracks:5481510.595 lyrics:4788523.307 listen:4749874.434 band:4360719.939 rock:3855726.772 vocals:3847517.889 track:3253201.819 listening:3166857.960 recording:2914746.286 heard:2841619.765 voice:2657547.896 musical:2368813.444 singing:2234959.307 sound:2193083.038 recordings:2130698.512 recorded:2077364.862 singer:2007440.362 quot:1979406.266 sounds:1979121.335 record:1940374.206 vocal:1890578.101 tunes:1886082.627 jazz:1883776.414 bands:1813540.979 solo:1806038.613 disc:1730686.992 cds:1720317.366 hear:1649461.832 sing:1589353.028 catchy:1543418.910 listened:1538775.766 blues:1510493.935 concert:1462968.331 pop:1441739.037 release:1396057.513 musicians:1394453.909 piano:1373751.658 melodies:1332585.938 melodic:1309686.135 hits:1268335.783 artists:1249831.714 orchestra:1188159.954 drums:1171089.436 released:1166687.433 soundtrack:1138828.895 sings:1132917.530 fans:1131610.083 collection:1125917.891 ballad:1112839.253 fan:1090882.693 instrumental:1084362.961 singers:1081669.066 listener:1067546.638 records:1055252.704 ballads:1029610.132 chorus:1000708.717 lp:999665.549 riffs:994505.846 artist:992747.495 dance:964044.145 acoustic:936513.671 punk:929777.019 melody:923985.047 guitars:899111.005 arrangements:883031.736 musically:867774.617 production:864427.557 songwriting:840480.030 classic:831739.584 compilation:826902.294 sung:815338.903 rap:809781.697 studio:788666.623	
Cell_Phones_and_Accessorie iphone:4425441.722 protector:2044976.957 screen:1962133.297 charger:1768564.423 galaxy:1539100.554 otterbox:1445293.930 charge:1182177.756 protection:1139265.110 samsung:1132386.597 phones:1078974.249 charging:945013.408 battery:931100.147 htc:928583.043 cases:902750.764 protects:838221.331 dropped:834493.544 protectors:815556.546 cell:689324.221 fits:667252.214 bluetooth:664068.650 headset:642953.031 otter:594251.932 verizon:585889.383 motorola:541442.649 droid:511197.344 stylus:508146.058 bubbles:472825.148 bulky:465359.784 cover:457451.809 nokia:447849.464 buttons:444769.652 lg:437782.022 blackberry:422218.984 protect:416970.728 charges:397171.801 protective:392857.380 kickstand:377528.514 pocket:356086.647 rubber:353311.560 protected:339162.845 holster:337528.762 chargers:332510.079 defender:319166.801 sim:292802.199 clip:288690.411 nexus:272776.845 scratches:269405.365 razr:263762.390 rubberized:258417.314 charged:254211.949 slim:252803.962 fit:247588.910 usb:247347.131 tpu:245649.738 drop:236512.314 smartphone:229675.647 sprint:229521.903 evo:228856.098 silicone:228668.543 gs:223712.452 reading:210731.574 spigen:203092.977 characters:199935.347 ear:196977.447 mobile:195755.497 perfectly:194355.935 device:192756.213 plastic:190966.805 button:188442.773 lumia:187146.572 author:186000.159 broke:183893.397 iphones:182822.955 port:180315.187 bulk:175227.704	
Clothing_Shoes_and_Jewelry shoe:4472136.843 comfortable:4008510.038 size:2775155.115 boots:2369579.590 pair:2284778.739 fit:2188715.374 shirt:1921458.002 wearing:1762242.873 dress:1689518.693 earrings:1273722.972 jeans:1228747.687 comfy:1190011.690 worn:1135323.447 feet:1122529.124 heel:1049388.841 wore:1006092.897 socks:993417.756 sandals:987772.544 bra:956528.030 necklace:955253.690 costume:915933.987 cute:909886.068 sizing:880174.087 compliments:850638.570 bracelet:834812.272 pants:833986.351 leather:719856.368 toe:701084.562 fabric:676101.554 color:674493.421 boot:659417.109 foot:618396.409 jewelry:601969.125 sandal:585917.805 wears:581334.308 ordered:561647.528 slippers:552436.727 watches:548841.561 sole:539530.172 watch:519051.092 fits:518531.594 pairs:514812.098 shirts:510949.936 ring:503130.545 stylish:494692.537 waist:489627.424 warm:475480.846 pendant:455204.709 soles:429330.456 sizes:379005.024 jacket:372070.049 outfit:369600.299 leggings:368937.072 narrow:368836.980 reading:363094.072 arch:362436.130 hat:354620.721 sneakers:350430.200 tight:350006.799 characters:341554.241 ankle:341327.790 colors:330874.894 flattering:330451.707 wallet:328348.286 nice:328268.307 walking:327248.205 wrist:324642.749 author:319886.017 material:319515.557 casual:316510.981 dressy:313444.590 bras:308480.301 shorts:307129.785 comfort:296570.926 skirt:290702.532	
Digital_Music music:1183792.522 lyrics:1030819.155 listen:787481.898 albums:499844.353 heard:460502.748 voice:438997.190 catchy:397429.032 listening:380319.509 tracks:370943.110 vocals:370521.807 track:354638.529 rock:296386.082 rap:293184.268 band:289877.059 sing:276902.913 tune:270960.743 singer:253523.257 artist:243967.899 singing:218458.655 dance:193332.301 hear:180357.683 sounds:176822.814 melody:173576.151 upbeat:168908.174 listened:167707.701 eminem:165525.009 hop:160424.972 sound:145220.809 classic:144217.921 pop:142595.346 sings:141504.810 beats:129360.131 soulful:125925.084 radio:124340.192 vocal:123096.965 mp:121119.752 record:118065.324 musical:116807.764 artists:115067.259 rapper:114648.488 tunes:112565.838 hip:110163.910 playlist:109530.381 download:108441.522 jazz:104230.423 beat:102981.278 rappers:101417.843 chorus:101415.898 remix:95246.146 soul:92781.855 hits:91246.925 ballad:90992.022 melodies:90418.527 funk:90259.285 rendition:88416.528 blues:87908.099 piano:86904.257 talent:86731.871 sung:85467.854 instrumental:84986.652 debut:83818.960 bands:83411.111 favorite:82982.882 recording:82148.070 solo:81562.716 ep:80224.905 songwriter:75902.261 mellow:75378.577 singles:68825.882 melodic:68341.972 version:67395.873 lp:67154.770 lyrically:66543.288 singers:66075.089 hearing:65082.586	
Electronic cable:3028439.546 usb:2528259.812 computer:2321996.881 ipad:1762097.716 gb:1656447.033 speakers:1607737.354 keyboard:1579708.064 headphones:1556960.032 hdmi:1528682.039 screen:1503381.133 sony:1500420.862 battery:1458947.856 ipod:1441550.389 adapter:1424737.689 wireless:1419245.761 tv:1369453.942 device:1362029.489 tablet:1348834.459 sound:1340025.121 works:1295118.850 drive:1216691.594 plug:1168561.304 cables:1146326.688 card:1132753.826 pc:1113072.096 lens:1077886.810 hd:1071134.936 software:1069413.141 router:1032002.468 windows:1029695.427 remote:967920.262 unit:933869.815 mouse:903625.088 port:870421.902 macbook:843905.160 plugged:838287.865 signal:837955.367 canon:825995.742 player:820529.865 speaker:816187.244 cord:801776.942 setup:784741.322 cameras:765656.093 price:755575.191 sd:748506.592 mp:716307.150 nikon:707218.962 external:700861.423 audio:695531.613 receiver:682612.910 lcd:677670.583 apple:675390.898 video:667199.968 charger:662890.587 logitech:657422.775 dell:648156.466 antenna:647785.148 devices:645088.872 desktop:631737.906 flash:604448.253 gps:602501.879 ports:587408.026 asus:579901.668 charge:578528.520 connect:572001.927 mac:566121.875 zoom:564351.272 monitor:563970.128 samsung:554731.958 bluetooth:553314.445 digital:551209.636 garmin:549884.598 quality:548207.330 worked:543266.264 system:522295.867	
Grocery_and_Gourmet_Food delicious:2352991.777 tastes:1971111.826 tea:1942874.344 tasty:1868869.623 snack:1666962.361 flavors:1658424.037 chocolate:1647908.744 tasted:1557874.912 sugar:1547368.671 tasting:1522940.599 yummy:998684.856 sauce:906803.205 drink:861542.581 gluten:861349.926 flavored:834124.449 organic:792742.544 coconut:790522.279 teas:762586.457 flavorful:731214.032 syrup:720334.835 milk:682444.678 decaf:669906.286 grocery:651206.927 cereal:633597.346 eat:633226.861 cup:624670.566 keurig:620285.283 calories:611682.501 coffees:608643.154 salty:600973.011 yum:597966.261 candy:596906.270 roast:565065.074 cinnamon:521871.537 crackers:504927.428 spicy:504780.407 vanilla:494742.985 cookies:480086.717 salt:479953.815 chewy:465330.139 sweetener:463122.652 crunchy:457337.764 aftertaste:451890.091 butter:443384.975 seasoning:437705.707 candies:412960.540 peanut:410620.282 texture:404597.733 beans:396466.541 oatmeal:367029.514 sodium:365198.747 bitter:361320.670 cups:358808.233 caffeine:358248.350 aroma:354121.233 breakfast:345682.768 honey:339459.220 caramel:336760.068 fruit:335202.959 stevia:328909.224 almonds:325576.456 chai:322247.284 flavoring:321142.849 healthy:319519.058 sweet:315735.708 rice:306860.223 corn:302525.273 popcorn:300678.776 pasta:299057.232 starbucks:295393.206 fresh:293363.175 granola:291911.334 noodles:286168.656 hazelnut:280904.479 licorice:277752.786	
